YawnSeed,Outcome
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,Yawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Seeded,NoYawn
Control,Yawn
Control,Yawn
Control,Yawn
Control,Yawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
Control,NoYawn
