Monarch Group,Sex,Max Grip Strength (N)
Incubator - Fall conditions,M,0.162
Incubator - Fall conditions,F,0.244
Incubator - Fall conditions,M,0.162
Incubator - Fall conditions,M,0.189
Incubator - Fall conditions,F,0.135
Incubator - Fall conditions,M,0.244
Incubator - Fall conditions,F,
Incubator - Fall conditions,M,0.244
Incubator - Fall conditions,F,0.217
Incubator - Fall conditions,M,
Incubator - Fall conditions,M,0.217
Incubator - Fall conditions,F,0.189
Incubator - Fall conditions,M,0.325
Incubator - Fall conditions,F,0.189
Incubator - Fall conditions,M,0.108
Incubator - Fall conditions,F,0.189
Incubator - Fall conditions,F,0.162
Incubator - Fall conditions,F,
Incubator - Fall conditions,M,0.271
Incubator - Fall conditions,M,0.081
Incubator - Fall conditions,M,
Incubator - Fall conditions,F,0.189
Incubator - Fall conditions,M,0.162
Incubator - Fall conditions,F,0.108
Incubator - Fall conditions,F,
Incubator - Fall conditions,M,0.189
Incubator - Fall conditions,F,
Incubator - Fall conditions,M,
Incubator - Fall conditions,M,0.433
Incubator - Fall conditions,M,
Incubator - Fall conditions,F,0.244
Incubator - Fall conditions,M,0.135
Incubator - Fall conditions,M,0.244
Incubator - Fall conditions,M,0.217
Incubator - Fall conditions,M,
Incubator - Fall conditions,M,0.108
Incubator - Fall conditions,M,0.189
Incubator - Fall conditions,M,0.244
Incubator - Fall conditions,F,0.162
Incubator - Fall conditions,F,
Rearing room - summer conditions,F,0.271
Rearing room - summer conditions,F,0.271
Rearing room - summer conditions,F,0.217
Rearing room - summer conditions,M,0.217
Rearing room - summer conditions,F,0.406
Rearing room - summer conditions,F,0.108
Rearing room - summer conditions,F,0.135
Rearing room - summer conditions,F,
Rearing room - summer conditions,M,0.217
Rearing room - summer conditions,F,0.298
Rearing room - summer conditions,F,0.244
Rearing room - summer conditions,M,0.108
Rearing room - summer conditions,M,
Rearing room - summer conditions,F,0.135
Rearing room - summer conditions,M,0.162
Rearing room - summer conditions,M,0.217
Rearing room - summer conditions,M,0.271
Rearing room - summer conditions,M,0.406
Rearing room - summer conditions,F,0.406
Rearing room - summer conditions,F,0.406
Rearing room - summer conditions,F,
Rearing room - summer conditions,F,0.325
Rearing room - summer conditions,F,0.352
Rearing room - summer conditions,M,0.217
Rearing room - summer conditions,M,0.596
Rearing room - summer conditions,F,0.298
Rearing room - summer conditions,F,0.217
Rearing room - summer conditions,F,0.298
Rearing room - summer conditions,F,0.189
Rearing room - summer conditions,M,
Rearing room - summer conditions,F,0.135
Rearing room - summer conditions,F,0.244
Rearing room - summer conditions,M,0.271
Rearing room - summer conditions,M,0.325
Rearing room - summer conditions,M,0.298
Rearing room - summer conditions,F,0.325
Rearing room - summer conditions,F,0.271
Rearing room - summer conditions,M,0.162
Rearing room - summer conditions,F,0.325
Rearing room - summer conditions,F,
Rearing room - summer conditions,F,0.217
Rearing room - summer conditions,F,0.325
Wild migrants,M,0.352
Wild migrants,M,0.65
Wild migrants,F,0.271
Wild migrants,M,0.379
Wild migrants,F,0.162
Wild migrants,M,
Wild migrants,M,0.568
Wild migrants,M,0.487
Wild migrants,M,0.433
Wild migrants,F,0.108
Wild migrants,M,0.298
Wild migrants,F,0.244
Wild migrants,M,0.271
Wild migrants,M,0.298
Wild migrants,M,0.596
Wild migrants,M,0.162
Wild migrants,F,0.298
Wild migrants,M,0.433
Wild migrants,F,0.352
Wild migrants,M,0.65
Wild migrants,F,0.406
Wild migrants,M,0.352
Wild migrants,M,0.406
Wild migrants,F,0.271
Wild migrants,F,0.189
Wild migrants,M,0.217
Wild migrants,M,0.433
Wild migrants,F,0.352
Wild migrants,F,0.135
Wild migrants,M,0.406
Wild migrants,F,0.352
Wild migrants,M,0.406
Wild migrants,M,0.541
Wild migrants,M,0.379
Wild migrants,F,0.244
Wild migrants,F,0.19
Wild migrants,M,0.352
Wild migrants,M,0.514
Wild migrants,M,0.352
Wild migrants,M,0.298
Wild migrants,M,0.623
