Condition,Behavior
Hurry,No help
Hurry,No help
No hurry,No help
No hurry,No help
No hurry,Help
No hurry,No help
No hurry,Help
No hurry,No help
No hurry,Help
No hurry,Help
No hurry,No help
No hurry,No help
No hurry,No help
Hurry,No help
Hurry,No help
Hurry,Help
Hurry,No help
Hurry,No help
Hurry,Help
Hurry,No help
Hurry,Help
Hurry,No help
Hurry,No help
Hurry,No help
Hurry,Help
Hurry,No help
Hurry,No help
Hurry,Help
Hurry,Help
Hurry,Help
Hurry,No help
No hurry,Help
No hurry,No help
No hurry,No help
No hurry,No help
No hurry,No help
No hurry,No help
No hurry,Help
No hurry,No help
No hurry,No help
