Danceability,Valance
67,80
75,64
76,71
70,71
64,43
73,54
75,82
52,38
48,14
79,61
62,47
62,48
77,63
83,71
44,78
78,33
72,83
82,44
63,37
83,76
80,40
44,45
73,74
70,73
53,65
48,74
61,88
65,73
72,59
79,40
70,79
68,83
75,52
60,41
50,55
81,80
29,7
65,79
72,84
50,26
51,72
71,10
31,16
80,85
23,7
76,54
64,57
66,65
45,58
67,63
67,45
42,16
56,28
67,53
64,43
73,52
73,76
72,62
65,65
71,23
69,81
58,88
59,49
63,10
62,48
55,30
75,35
74,65
64,68
63,65
66,26
73,57
69,58
71,70
61,40
71,80
58,36
62,76
69,45
70,79
75,81
52,52
66,53
65,32
70,66
73,60
61,38
30,26
65,39
59,70
71,89
58,73
82,89
64,57
35,9
45,58
30,19
77,59
68,56
73,69
50,37
65,72
64,65
80,53
60,30
73,87
45,20
74,55
73,89
62,68
78,66
86,92
61,47
63,75
56,68
67,55
75,75
72,62
56,68
72,45
60,53
67,65
67,39
72,33
68,77
76,78
72,44
51,57
69,88
79,71
59,64
68,78
38,74
56,39
72,95
70,86
65,80
58,48
60,75
51,69
53,64
60,29
78,44
42,63
55,46
61,48
61,44
79,86
53,35
38,30
85,84
50,50
63,75
71,80
51,18
57,11
54,51
47,73
77,29
65,49
63,91
57,58
83,67
63,85
55,76
63,88
67,54
56,23
66,25
78,66
52,16
65,86
80,36
80,40
71,82
72,68
66,37
68,40
76,52
85,77
56,43
47,67
56,58
58,65
67,35
58,59
45,23
55,34
61,49
55,58
69,65
55,56
28,11
63,28
59,33
67,73
70,38
62,66
68,90
68,45
36,51
72,50
69,73
60,61
77,79
53,45
67,58
51,7
71,66
65,45
42,33
42,18
60,74
65,96
77,93
65,94
65,35
55,46
74,88
87,94
51,24
66,63
68,57
69,42
50,21
50,52
58,20
78,71
56,33
49,44
91,38
76,76
72,64
44,25
56,50
70,72
72,74
69,80
71,98
76,52
79,66
41,17
72,84
62,57
60,46
50,25
47,22
69,82
35,4
45,9
55,16
93,90
29,62
47,21
60,55
41,23
59,40
96,65
68,64
80,61
68,56
53,19
63,56
78,39
56,57
64,53
74,59
59,46
78,59
68,49
58,14
61,52
86,93
57,44
75,88
65,41
58,35
26,28
66,44
85,79
75,76
78,66
69,74
83,45
67,37
74,34
58,28
47,24
28,33
41,35
88,59
69,28
81,85
42,50
80,55
48,29
66,83
75,56
62,62
60,53
63,91
59,43
82,94
68,45
71,85
83,71
57,31
49,48
69,64
63,64
32,8
67,44
58,37
78,95
36,8
38,33
59,34
69,79
68,65
53,21
62,60
81,74
75,88
67,79
81,96
70,74
79,85
63,29
71,40
77,76
38,52
67,48
39,48
71,73
71,60
51,44
64,64
74,86
76,78
69,28
52,35
47,4
65,40
54,9
60,59
48,27
67,39
69,26
57,66
47,52
68,93
64,8
26,9
57,28
72,72
85,79
80,83
62,39
88,54
28,8
72,88
90,65
48,27
58,14
61,52
77,90
53,42
50,17
62,37
63,47
67,15
67,30
77,34
67,70
80,59
57,45
63,42
73,56
75,76
76,38
66,69
66,29
73,51
77,80
61,52
59,34
79,39
71,34
61,50
93,84
75,75
76,82
65,40
55,82
66,30
70,25
59,43
81,47
59,34
63,50
56,65
76,40
67,20
32,8
38,33
61,66
59,43
55,34
55,44
55,35
63,26
47,27
56,23
59,73
61,32
56,25
60,32
69,56
93,56
71,64
38,27
68,72
37,12
58,18
62,20
70,58
60,53
57,49
74,80
73,64
63,73
52,26
83,32
65,44
37,16
75,52
39,14
57,40
75,45
83,83
70,69
80,69
0,0
83,93
75,66
68,49
44,75
85,86
65,16
77,59
56,36
65,61
69,54
64,52
57,34
61,51
72,74
74,9
82,54
61,81
58,32
65,82
67,73
61,13
65,25
33,60
74,57
74,51
84,57
45,47
69,41
53,23
53,62
59,34
63,68
70,52
31,16
93,46
40,47
69,49
71,72
82,63
87,55
71,65
65,58
80,52
76,14
72,54
77,86
74,85
55,33
65,86
73,53
74,13
64,53
70,67
37,21
69,59
74,65
51,27
70,63
77,33
68,84
57,78
60,47
27,21
76,81
43,25
79,59
77,39
82,65
76,61
87,97
70,35
84,51
62,49
72,31
26,10
78,80
59,51
51,38
66,74
52,29
71,89
57,28
65,55
80,42
70,93
59,36
68,61
59,19
74,62
67,63
70,48
66,46
66,45
47,50
77,51
53,32
97,73
63,32
71,37
69,48
52,21
64,91
46,19
77,68
84,74
63,68
65,15
76,47
92,20
54,18
57,32
63,41
66,45
39,19
77,86
53,53
48,62
68,20
73,42
76,90
75,45
75,65
63,25
58,42
79,23
75,58
58,50
97,27
58,76
76,57
51,9
50,45
76,75
48,35
86,67
62,50
69,67
72,41
67,48
69,40
80,87
64,55
84,95
67,23
80,84
90,35
81,61
53,35
73,52
85,45
59,52
70,14
72,91
84,62
74,61
61,16
75,61
53,65
60,24
70,23
