Species,SocialCategory,BodyWeight,Volume
Colaptes_campestris,group_living,158,3232
Melanerpes_formicivorus,group_living,71.85,1990
Melanerpes_striatus,group_living,73.91,2040
Melanerpes_cruentatus,group_living,58.1,1426
Melanerpes_flavifrons,group_living,58,1515
Picoides_borealis,group_living,48,1660
Picus_erythropygius,group_living,117.5,2793
Sasia_africana,group_living,9.4,292
Campephilus_melanoleucos,group_living,256,5554
Campephilus_rubricollis,group_living,211,5043
Chrysocolaptes_lucidus,group_living,142,4960
Dinopium_benghalense,group_living,100,2798
Dinopium_javanense,group_living,77.96,2670
Dryocopus_lineatus,group_living,183.5,4344
Dryocopus_pileatus,group_living,286.76,6800
Melanerpes_lewis,group_living,96.05,2220
Melanerpes_rubricapillus,group_living,52.45,1395
Mulleripicus_fulvus,group_living,461.5,4430
Mulleripicus_pulverulentus,group_living,404.8,7856
Sasia_abnormis,group_living,8.1,580
Blythipicus_rubiginosus,solitary,56.4,3104
Campephilus_guatplalensis,solitary,242.25,5940
Campethera_nivosa,solitary,37.8,1580
Campethera_nubica,solitary,59.7,1760
Campethera_caroli,solitary,47.5,2106
Celeus_castaneus,solitary,91.45,2110
Colaptes_auratus,solitary,149.85,3060
Colaptes_melanochloros,solitary,127.8,3134
Dendrocopos_major,solitary,81.6,2762
Dendrocopos_medius,solitary,59,2077
Dendrocopos_macei,solitary,45.5,993
Dendrocopos_darjellensis,solitary,71,2096
Dendrocopos_minor,solitary,19.8,1200
Dendropicos_fuscescens,solitary,26,1220
Thripias_pyrrhogaster,solitary,68.5,1571
Dryocopus_martius,solitary,321,7700
Dryocopus_javensis,solitary,272,6066
Jynx_Torquilla,solitary,28,940
Meiglyptes_tukki,solitary,47.4,1810
Melanerpes_aurifrons,solitary,80.9,2200
Melanerpes_carolinus,solitary,70.85,2160
Melanerpes_erythrocephalus,solitary,71.6,1780
Melanerpes_superciliaris,solitary,84.2,2600
Picoides_arcticus,solitary,70.83,3150
Picoides_pubescens,solitary,26.06,1210
Picoides_scalaris,solitary,32.44,1380
Picoides_tridactylus,solitary,56.38,2630
Picoides_villosus,solitary,80,2950
Veniliornis_mixtus,solitary,28.8,1414
Picoides_nuttallii,solitary,38,1462
Piculus_flavigula,solitary,59.3,1630
Colaptes_rubiginosus,solitary,55.8,2191
Picumnus_temminckii,solitary,11,600
Picus_canus,solitary,144.83,3680
Picus_viridis,solitary,176,4296
Picus_mineaceus,solitary,97.3,2433
Picus_vittatus,solitary,109.1,3063
Veneliornis_passerinus,solitary,32.1,1450
Sphyrapicus_nuchalis,solitary,45.64,1270
Sphyrapicus_varius,solitary,49.91,1300
Reinwardtipicus_validus,solitary,149,5763
